country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median
Albania,1996,national,consumption,2011,1996,0,0.920669007,11.17414933675462,44.61841668638992,0.057415813,86.17520773919996,99.63207914995569,99.91246507775932,99.95165621,2.768821117,7.548123039,14.8025142,29167,354001,1413526,1819,2730059,3156377,3165260,3166501,87717,239127,468949
Albania,2002,national,consumption,2011,2002,1,1.570843359,14.13211815688005,49.66963515999645,0.046370623,85.33831702536492,98.08006084701104,99.63838560500017,99.84308111495416,3.21228323,8.406372784532019,16.02055356185178,47927,431172,1515426,1415,2603681,2992432,3039977,3046222,98007,256479,488789
Albania,2005,national,consumption,2011,2005,1,0.860527113,8.715684771,38.5452539,0.027620224,79.98712716476295,97.57659760661808,99.43445844,99.75174440435484,4.09500191,8.991532514,16.67577033199554,25915,262472,1160785,832,2408802,2938507,2994456,3004011,123320,270779,502189
Albania,2008,national,consumption,2011,2008,1,0.313649581,5.250541592,31.11034495362427,0,75.85102098,97.09978489047155,99.01586424,99.67824797548074,2.11853497,7.227714347122539,14.137154208979242,9244,154750,916920,0,2235568,2861836,2918308,2937831,62440,213023,416666
Albania,2012,national,consumption,2011,2012,1,0.849754448,6.182413869,34.52890592661766,0.111320998,77.06983967714693,97.77262570432718,99.61829859921708,99.88598356,3.4924129328671296,7.753111845,14.84282292059738,24646,179315,1001477,3229,2235334,2835798,2889330,2897094,101294,224871,430501
Albania,2014,national,consumption,2011,2014,2,1.58089717,11.61562086400974,37.03384185206247,0,71.58568545345165,95.18214124180972,99.12648854074304,99.81975638870472,7.514618464949289,14.37582774078003,22.21602387505624,45674,335587,1069946,0,2068185,2749911,2863867,2883897,217105,415333,641844
Albania,2015,national,consumption,2011,2015,2,0.245097908,4.690767108,24.461184845440588,0,62.17538027,92.29149173544076,98.35724035400422,99.63743811,4.96048836,10.77823508542475,18.76418997908274,7061,135127,704654,0,1791088,2658644,2833380,2870259,142897,310489,540541
Albania,2016,national,consumption,2011,2016,2,0.410364223,5.462612185,23.903491131383788,0,59.79901278008186,91.28642726132716,97.88307666824616,99.55510507286954,6.572461345,12.71899533854483,20.06597024463861,11802,157110,687489,0,1719880,2625490,2815216,2863305,189031,365811,577118
Albania,2016,national,income,2011,2016,4,6.681603985,17.62164857539816,39.94989104,2.298448566,72.34523375101686,94.70076122305396,98.78681682834072,99.68667978596412,13.25119549867036,19.57238352960146,26.00888258534007,192170,506816,1148999,66106,2080722,2723690,2841209,2867090,381118,562922,748042
Albania,2017,national,consumption,2011,2017,2,0.428475456,4.284742721,23.82862474843489,0,60.48042945830944,91.73751546570544,98.2750431,99.57232436,5.271310433,11.654406498098387,19.17304680980168,12312,123120,684705,0,1737879,2636038,2823891,2861168,151469,334884,550929
Albania,2017,national,income,2011,2017,4,6.0738207496083305,15.22410375236595,35.7825805,1.860243184,69.71129717,94.05726595884956,98.87094363792028,99.69417002850146,12.86568729923534,18.75074038537221,25.20468972209216,174529,437458,1028197,53453,2003124,2702695,2841014,2864669,369690,538794,724246
Albania,2018,national,consumption,2011,2018,3,0.12077233,3.3245385958051896,16.86170693,0,52.74689711240698,91.02180628672384,98.34705795318143,99.72424108928324,6.06099331,11.77378607783045,18.66027629241168,3462,95294,483320,0,1511924,2609027,2818996,2858472,173731,337481,534874
